ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type 	URCH specific	hasNoOnto
ECAO:1000507	vegetal tier 1 upper	cell tier	vegetal hemisphere	vegetal tier 1 	mid blastula stage	late blastula stage		veg1U, veg1 upper, presumptive vegetal ectoderm					Lhomond et al 2012 (Frizzled1/2/7)					x	
ECAO:1000508	vegetal tier 1 lower	cell tier	vegetal hemisphere	vegetal tier 1 	mid blastula stage	late blastula stage		veg1L, veg1 lower					Lhomond et al 2012 (Frizzled1/2/7)					x	
ECAO:1000509	vegetal tier 2 upper	cell tier	vegetal hemisphere	vegetal tier 2 	mid blastula stage	late blastula stage		veg2U, veg2 upper					Lhomond et al 2012 (Frizzled1/2/7)					x	
ECAO:1000510	vegetal tier 2 lower	cell tier	vegetal hemisphere	vegetal tier 2 	mid blastula stage	late blastula stage		veg2L, veg2 lower, presumptive non-skeletogenic mesoderm					Lhomond et al 2012 (Frizzled1/2/7)					x	
ECAO:1000511	germ layer	embryonic structure			16-cell stage	prism stage		primary germ layer, embryonic germ layer	UBERON:0000923										
ECAO:1000512	presumptive ectoderm	embryonic structure	animal hemisphere	mesomere	16-cell stage	60-cell stage			UBERON:0006601										
ECAO:1000513	ectoderm	germ layer	animal hemisphere		60-cell stage	competent pluteus larva stage	Primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue.		UBERON:0000924										
ECAO:1000514	oral ectoderm	larval tissue	ectoderm		60-cell stage	prism stage												x	
ECAO:1000515	aboral ectoderm	larval tissue	ectoderm		60-cell stage	prism stage												x	
ECAO:1000516	animal ectoderm	anatomical region	ectoderm															x	
ECAO:1000517	vegetal ectoderm	anatomical region	ectoderm															x	
ECAO:1000518	ventral ectoderm	embryonic tissue	ectoderm															x	
ECAO:1000519	dorsal ectoderm	embryonic tissue	ectoderm															x	
ECAO:1000520	ectoendoderm	germ layer	vegetal hemisphere	vegetal tier 1 	60-cell stage	hatched blastula stage		vegetal tier 1, veg1										x	
ECAO:1000521	endomesoderm	germ layer	vegetal hemisphere	vegetal tier 2 	60-cell stage	hatched blastula stage		vegetal tier 2, veg2, mesoendoderm							XAO:0003044			xao	
ECAO:1000522	inner animal pole domain	embryonic tissue	animal pole domain 		mesenchyme blastula stage	prism stage		inner apical pole domain										x	
ECAO:1000523	outer animal pole domain	embryonic tissue	animal pole domain 		mesenchyme blastula stage	prism stage		outer apical pole domain										x	
ECAO:1000524	central ectoderm	embryonic tissue	ectoderm		mesenchyme blastula stage	prism stage							Li, E., Cui, M., Peter, I. S. and Davidson, E. H. (2014). Encoding regulatory state boundaries in the pregastrular oral ectoderm of the sea urchin embryo. Proc. Natl. Acad. Sci. U.S.A. 111, E906-913.					x	
ECAO:1000525	border ectoderm	embryonic tissue	ectoderm	ectoendoderm	mesenchyme blastula stage	mesenchyme blastula stage		BE					Ref McIntyre					x	
ECAO:1000526	near-apical ectoderm	embryonic tissue	ectoderm																
ECAO:1000527	apical ectoderm	embryonic tissue	ectoderm																
ECAO:1000528	posterior ectoderm	embryonic tissue	ectoderm															x	
ECAO:1000529	veg1-lateral ectoderm	embryonic tissue	ectoderm																
ECAO:1000530	veg-1 oral ectoderm	embryonic tissue	ectoderm																
ECAO:1000531	lateral ectoderm	embryonic tissue	ectoderm																
ECAO:1000532	right lateral ectoderm	lateral ectoderm	ectoderm		late gastrula stage	competent pluteus larva stage												x	
ECAO:1000533	left lateral ectoderm	lateral ectoderm	ectoderm		late gastrula stage	competent pluteus larva stage												x	
ECAO:1000534	arm tip ectoderm	embryonic tissue	ciliary band															x	
ECAO:1000535	dorsal arm tip ectoderm	embryonic tissue	arm tip ectoderm	border ectoderm	blastopore gastrula stage	prism stage												x	
ECAO:1000536	ventral arm tip ectoderm	embryonic tissue	arm tip ectoderm	border ectoderm	blastopore gastrula stage	prism stage												x	
ECAO:1000537	apical tuft	embryonic structure	animal pole domain 		hatched blastula stage	"early pluteus larva stage

"												x	
ECAO:1000538	embryonic tissue	tissue	embryo		mesenchyme blastula stage	prism stage			UBERON:0005291										
ECAO:1000539	larval tissue	tissue	larva		"early pluteus larva stage

"	competent pluteus larva stage												x	
ECAO:1000540	adult tissue	tissue			8-arm pluteus larva stage	adult stage												x	
ECAO:1000541	stomodeum	embryonic structure	ventral ectoderm		mesenchyme blastula stage	prism stage		presumptive mouth	UBERON:0000930										
ECAO:1000542	ciliary band	anatomical structure	ectoderm		mesenchyme blastula stage	competent pluteus larva stage												x	
ECAO:1000543	oral hood ciliary band	larval structure	ciliary band		"early pluteus larva stage

"	competent pluteus larva stage												x	
ECAO:1000544	arm ciliary band	larval structure	ciliary band		early pluteus larva stage	competent pluteus larva stage												x	
ECAO:1000545	vegetal ciliary band	embryonic structure	ciliary band		mesenchyme blastula stage	prism stage												x	
ECAO:1000546	lateral ciliary band	embryonic structure	ciliary band		mesenchyme blastula stage	prism stage												x	
ECAO:1000547	oral hood	larval structure	larva		early pluteus larva stage	competent pluteus larva stage		oh, preoral lobe, PL					gossellin and jangoux 1998 et Smith et al., 2008					x	
ECAO:1000548	apex	larval structure	larva		early pluteus larva stage	competent pluteus larva stage												x	
ECAO:1000549	larval arm	larval structure	larva		early pluteus larva stage	competent pluteus larva stage												x	
