term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/ECAO_0100625,ventral skeletogenic mesenchyme chain,Subpopulation of skeletogenic mesenchyme forming a chain on the oral (i.e. ventral) side of the embryo.,
http://purl.obolibrary.org/obo/ECAO_0100626,dorsal skeletogenic mesenchyme chain,Subpopulation of skeletogenic mesenchyme forming a chain on the aboral (i.e. dorsal) side of the embryo.,
http://purl.obolibrary.org/obo/ECAO_0100627,ventrolateral skeletogenic mesenchyme cluster,Subpopulation of skeletogenic mesenchyme forming a cluster (i.e. a group of cells) in the ventrolateral region of the embryo.,
http://purl.obolibrary.org/obo/ECAO_0100628,lateral chains of skeletogenic mesenchyme,"Subpopulation of skeletogenic mesenchyme forming a chain on either side of the developing digestive tract, along the blastocoel wall and towards the animal pole.",
http://purl.obolibrary.org/obo/ECAO_0100629,right lateral chain of skeletogenic mesenchyme,Subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the right side of the embryo.,
http://purl.obolibrary.org/obo/ECAO_0100630,left lateral chain of skeletogenic mesenchyme,Subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the left side of the embryo.,
http://purl.obolibrary.org/obo/ECAO_0100631,non-skeletogenic mesoderm,,
http://purl.obolibrary.org/obo/ECAO_0100632,ventral non-skeletogenic mesoderm,,
http://purl.obolibrary.org/obo/ECAO_0100633,dorsal non-skeletogenic mesoderm,,
http://purl.obolibrary.org/obo/ECAO_0100634,non-skeletogenic mesenchyme,,"secondary mesenchyme, NSM"
http://purl.obolibrary.org/obo/ECAO_0100635,non-skeletogenic mesenchyme cell,,"SMC, secondary mesenchyme cell"
http://purl.obolibrary.org/obo/ECAO_0100636,presumptive blastocoelar cell,,
http://purl.obolibrary.org/obo/ECAO_0100637,presumptive pigment cell,,"presumptive pigmented cell, presumptive immunocyte"
http://purl.obolibrary.org/obo/ECAO_0100638,pigment cell,a cell that contains red coloring matter,"pigmented cell, pigmented immunocyte"
http://purl.obolibrary.org/obo/ECAO_0100639,embryonic pigment cell,,
http://purl.obolibrary.org/obo/ECAO_0100640,larval pigment cell,,
http://purl.obolibrary.org/obo/ECAO_0100641,adult pigment cell,,
http://purl.obolibrary.org/obo/ECAO_0100642,blastocoelar cell,,
http://purl.obolibrary.org/obo/ECAO_0100643,globular cell,,
http://purl.obolibrary.org/obo/ECAO_0100644,filopodial cell,,
http://purl.obolibrary.org/obo/ECAO_0100645,ovoid cell,,
http://purl.obolibrary.org/obo/ECAO_0100646,amoeboid cell,,
http://purl.obolibrary.org/obo/ECAO_0100647,muscle precursor cell,,presumptive muscle cell
http://purl.obolibrary.org/obo/ECAO_0100648,larval muscle,,contractile muscle
http://purl.obolibrary.org/obo/ECAO_0100649,adult muscle,,
http://purl.obolibrary.org/obo/ECAO_0100650,blastocoel,,
